id,name,year,count
1,3DGIS,2006,57
2,3DIC,2009,82
2,3DIC,2010,67
2,3DIC,2011,108
2,3DIC,2012,1
2,3DIC,2013,90
2,3DIC,2014,47
2,3DIC,2015,81
2,3DIC,2016,49
3,3DICA,1997,20
3,3DICA,1998,22
3,3DICA,1999,25
3,3DICA,2000,31
3,3DICA,2001,27
3,3DICA,2002,24
3,3DICA,2004,19
3,3DICA,2006,35
3,3DICA,2008,35
3,3DICA,2010,32
3,3DICA,2011,46
3,3DICA,2012,50
3,3DICA,2013,32
3,3DICA,2014,16
3,3DICA,2015,26
3,3DICA,2016,21
4,3DIM,1997,46
4,3DIM,1999,59
4,3DIM,2001,50
4,3DIM,2003,62
4,3DIM,2005,78
4,3DIM,2007,54
4,3DIM,2011,55
4,3DIM,2012,76
4,3DIM,2013,57
4,3DIM,2014,107
4,3DIM,2015,75
4,3DIM,2016,76
4,3DIM,2017,74
4,3DIM,2018,82
5,3DOR,2008,11
5,3DOR,2009,13
5,3DOR,2010,17
5,3DOR,2011,19
5,3DOR,2012,20
5,3DOR,2013,16
5,3DOR,2014,18
5,3DOR,2015,23
5,3DOR,2016,16
5,3DOR,2017,19
5,3DOR,2018,16
5,3DOR,2019,17
6,3DPH,2009,20
7,3DPVT,2002,132
7,3DPVT,2004,139
7,3DPVT,2006,142
8,3DTV,2012,58
8,3DTV,2013,30
8,3DTV,2014,62
8,3DTV,2015,29
8,3DTV,2016,25
8,3DTV,2017,32
8,3DTV,2018,25
9,3DUI,2006,28
9,3DUI,2007,27
9,3DUI,2008,38
9,3DUI,2009,37
9,3DUI,2010,35
9,3DUI,2011,37
9,3DUI,2012,51
9,3DUI,2013,64
9,3DUI,2014,55
9,3DUI,2015,57
9,3DUI,2016,58
9,3DUI,2017,66
10,3PGCIC,2010,94
10,3PGCIC,2011,68
10,3PGCIC,2012,59
10,3PGCIC,2013,119
10,3PGCIC,2014,110
10,3PGCIC,2015,154
10,3PGCIC,2016,93
10,3PGCIC,2017,80
10,3PGCIC,2018,47
10,3PGCIC,2019,1
11,5GU,2014,53
12,5GWF,2018,101
13,5GWN,2017,63
13,5GWN,2018,1
13,5GWN,2019,14
14,A2CWIC,2010,70
15,A4CLOUD,2014,13
15,A4CLOUD,2015,1
16,AAA-IDEA,2005,10
16,AAA-IDEA,2006,10
17,AAAI,1980,96
17,AAAI,1982,105
17,AAAI,1983,93
17,AAAI,1984,70
17,AAAI,1986,201
17,AAAI,1987,150
17,AAAI,1988,151
17,AAAI,1990,175
17,AAAI,1991,162
17,AAAI,1992,135
17,AAAI,1993,137
17,AAAI,1994,304
17,AAAI,1996,308
17,AAAI,1997,228
17,AAAI,1998,207
17,AAAI,1999,194
17,AAAI,2000,234
17,AAAI,2002,181
17,AAAI,2004,195
17,AAAI,2005,326
17,AAAI,2006,386
17,AAAI,2007,369
17,AAAI,2008,357
17,AAAI,2010,437
17,AAAI,2011,491
17,AAAI,2012,399
17,AAAI,2013,370
17,AAAI,2014,534
17,AAAI,2015,806
17,AAAI,2016,829
17,AAAI,2017,939
17,AAAI,2018,1227
17,AAAI,2019,1399
18,AAAIFS,2005,41
18,AAAIFS,2006,109
18,AAAIFS,2007,138
18,AAAIFS,2008,155
18,AAAIFS,2009,142
18,AAAIFS,2010,176
18,AAAIFS,2011,106
18,AAAIFS,2012,128
18,AAAIFS,2013,82
18,AAAIFS,2014,111
18,AAAIFS,2015,85
18,AAAIFS,2016,58
18,AAAIFS,2017,84
18,AAAIFS,2018,11
19,AAAISS,2005,130
19,AAAISS,2006,200
19,AAAISS,2007,213
19,AAAISS,2008,176
19,AAAISS,2009,185
19,AAAISS,2010,158
19,AAAISS,2011,134
19,AAAISS,2012,99
19,AAAISS,2013,124
19,AAAISS,2014,103
19,AAAISS,2015,107
19,AAAISS,2016,81
19,AAAISS,2017,131
19,AAAISS,2018,118
19,AAAISS,2019,71
20,AAATE,2015,167
20,AAATE,2017,174
21,AABI,2018,3
21,AABI,2019,1
22,AACC,2004,43
23,AADEBUG,1993,24
23,AADEBUG,1995,26
